time,accel_angle,gyro_angle
0.000000,-0.000000,0.000000
0.100000,-1.553352,0.000000
0.200000,-1.555813,-0.000107
0.300000,-1.557717,-0.000053
0.400000,-1.555965,-0.000053
0.500000,-1.554177,-0.000000
0.600000,-1.552321,-0.000053
0.700000,-1.554851,-0.000053
0.800000,-1.553129,-0.000107
0.900000,-1.555263,-0.000000
1.000000,-1.556052,0.000000
1.100000,-1.554664,0.000000
1.200000,-1.555014,0.000053
1.300000,-1.552480,0.000160
1.400000,-1.558276,0.000053
1.500000,-1.554790,0.000160
1.600000,-1.557075,0.000266
1.700000,-1.555843,0.000160
1.800000,-1.551784,0.000160
1.900000,-1.552368,0.000107
2.000000,-1.553054,0.000160
2.100000,-1.554076,0.000053
2.200000,-1.555917,0.000000
2.300000,-1.556376,0.000053
2.400000,-1.553054,0.000000
2.500000,-1.553439,0.000107
2.600000,-1.553356,0.000000
2.700000,-1.555758,0.000160
2.800000,-1.556065,0.000266
2.900000,-1.555532,0.000320
3.000000,-1.555878,0.000266
3.100000,-1.555580,0.000266
3.200000,-1.555026,0.000160
3.300000,-1.555716,0.000107
3.400000,-1.553070,0.000053
3.500000,-1.555036,0.000000
3.600000,-1.555495,-0.000160
3.700000,-1.555193,-0.000053
3.800000,-1.554603,-0.000000
3.900000,-1.554633,-0.000000
4.000000,-1.554101,-0.000107
4.100000,-1.553537,-0.000213
4.200000,-1.555485,-0.000266
4.300000,-1.556284,-0.000213
4.400000,-1.552037,-0.000213
4.500000,-1.553463,-0.000160
4.600000,-1.551660,-0.000213
4.700000,-1.557572,-0.000266
4.800000,-1.553809,-0.000266
4.900000,-1.554286,-0.000160
5.000000,-1.553979,-0.000266
5.100000,-1.554704,-0.000266
5.200000,-1.551257,-0.000266
5.300000,-1.553484,-0.000213
5.400000,-1.554998,-0.000266
5.500000,-1.553203,-0.000213
5.600000,-1.556828,-0.000107
5.700000,-1.556964,-0.000160
5.800000,-1.555662,-0.000160
5.900000,-1.554878,-0.000053
6.000000,-1.553800,0.000000
6.100000,-1.551995,-0.000053
6.200000,-1.557343,-0.000107
6.300000,-1.553606,-0.000107
6.400000,-1.554740,-0.000160
6.500000,-1.554009,-0.000320
6.600000,-1.556556,-0.000320
6.700000,-1.554935,-0.000320
6.800000,-1.552770,-0.000426
6.900000,-1.558961,-0.000426
7.000000,-1.555867,-0.000586
7.100000,-1.554139,-0.000533
7.200000,-1.555660,-0.000479
7.300000,-1.552755,-0.000373
7.400000,-1.553627,-0.000373
7.500000,-1.556278,-0.000213
7.600000,-1.555440,-0.000053
7.700000,-1.551683,-0.000107
7.800000,-1.556874,-0.000053
7.900000,-1.556846,-0.000107
8.000000,-1.551686,-0.000107
8.100000,-1.553558,-0.000160
8.200000,-1.557075,-0.000107
8.300000,-1.553385,-0.000160
8.400000,-1.553045,-0.000160
8.500000,-1.554540,-0.000213
8.600000,-1.553129,-0.000213
8.700000,-1.553786,-0.000213
8.800000,-1.554076,-0.000266
8.900000,-1.556325,-0.000266
9.000000,-1.555942,-0.000320
9.100000,-1.556177,-0.000320
9.200000,-1.550903,-0.000373
9.300000,-1.555408,-0.000426
9.400000,-1.551016,-0.000373
9.500000,-1.554084,-0.000479
9.600000,-1.554787,-0.000426
9.700000,-1.554888,-0.000533
9.800000,-1.551333,-0.000533
9.900000,-1.554134,-0.000426
10.000000,-1.552852,-0.000479
